	Smiles String	agg
201	COc1cc(cc(OC)c1OC)C(=O)NCC(=O)N\N=C/c2ccc(C)cc2O	NONAGG
202	CCCCCCNC=C1C(=O)NC(=O)NC1=O	NONAGG
203	O=C(N1CCCCC1c2cccnc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4	NONAGG
204	Fc1ccc(cc1)n2nc3CS(=O)Cc3c2NC(=O)C4CC4	NONAGG
205	COCCNC(=O)CCS(=O)(=O)c1cccs1	NONAGG
207	[O-][N+](=O)c1c(Cl)ncnc1NCc2ccccc2	NONAGG
208	CSc1cccc(NS(=O)(=O)c2ccc3NC=C(C(=O)N4CCCCCC4)C(=O)c3c2)c1	NONAGG
209	CCOC(=O)C1=NN(C(=O)c2c(NC(=O)c3cccs3)scc12)c4ccc(C)cc4	NONAGG
210	Cc1cccc(C)c1OCC(=O)N\N=C\c2ccc3OCOc3c2	NONAGG
211	CC1=C(C(C(=C(C)N1)C(=O)NCc2ccccc2)c3cccc(c3)[N+](=O)[O-])C(=O)NCc4ccccc4	NONAGG
212	Clc1nc(Cl)nc(Nc2ccccc2)n1	NONAGG
213	O=C(Nc1ccccc1)c2cccc(c2)S(=O)(=O)NCCC34CC5CC(CC(C5)C3)C4	AGG
214	CCOc1ccc(OCC)c(NS(=O)(=O)c2cc(Br)cc3CCN(C(=O)C)c23)c1	NONAGG
215	CC(C)C(NC(=O)C1CCC(C)CC1)C(=O)N2CCC3(CC2)OCCO3	NONAGG
216	COc1ccc(Cl)cc1NC(=O)CCC(=O)Nc2ccc3nc(cc(C)c3c2)N4CCOCC4	NONAGG
217	CCN1CCN(CC1)C(=O)Cc2c([nH]c3ccc(Cl)cc23)C(=O)O	NONAGG
218	FC(F)(F)c1cccc(NC(=O)Cn2ncc3C(=O)Oc4ccccc4c23)c1	AGG
219	CCOC(=O)c1cn(CC(=O)Nc2cc(C)ccc2C)nn1	NONAGG
220	CC(=O)Nc1ccc(NC(=O)C\C(=N\NC(=O)C(=O)Nc2cccc(Cl)c2C)\C)cc1	NONAGG
221	Cc1ccc(cc1)N2C(=O)c3ccc(cc3C2=O)C(=O)OCc4ccccc4	NONAGG
222	CS(=O)(=O)N1CCc2cc(ccc12)S(=O)(=O)N3CCCCC3	NONAGG
223	COc1ccc(cc1)N2C(=S)Nc3cc(ccc3C2=O)C(=O)N4CCC(CC4)C(=O)N	NONAGG
224	COc1ccccc1N2CCN(CC2)S(=O)(=O)c3ccc(Br)s3	AGG
225	COc1ccc(CNC(=O)CCC2=Nc3sc4CCCCc4c3C(=O)N2)cc1	NONAGG
226	COc1ccc(NS(=O)(=O)c2cccs2)cc1	NONAGG
